2022-11-26 02:06:25 TAI ####______|___############|###############|##########
2022-11-26 02:06:26 TAI ###_______|________###____|___________#___|__########
2022-11-26 02:06:27 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:28 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:29 TAI ###_______|_______________|__#############|##########
2022-11-26 02:06:30 TAI ##________|__#############|###############|##########
2022-11-26 02:06:31 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:32 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:33 TAI ##________|__#############|###############|##########
2022-11-26 02:06:34 TAI ##________|___############|###############|##########
2022-11-26 02:06:35 TAI ##________|__#############|###############|##########
2022-11-26 02:06:36 TAI ###_#_____|_______________|_____#_________|__########
2022-11-26 02:06:37 TAI #####_____|______#________|_______________|__########
2022-11-26 02:06:38 TAI ###_#_____|__#############|###############|##########
2022-11-26 02:06:39 TAI ####______|__#############|###############|##########
2022-11-26 02:06:40 TAI ##________|__#############|###############|##########
2022-11-26 02:06:41 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:42 TAI #####_____|___############|###############|##########
2022-11-26 02:06:43 TAI ####______|_______________|__#############|##########
2022-11-26 02:06:44 TAI ######____|_______________|_##############|##########
2022-11-26 02:06:45 TAI ##___#____|___############|###############|##########
2022-11-26 02:06:46 TAI ###_______|_______________|_______________|_#########
2022-11-26 02:06:47 TAI #####_____|___############|###############|##########
2022-11-26 02:06:48 TAI ##________|__#############|###############|##########
2022-11-26 02:06:49 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:50 TAI ###_______|__#############|###############|##########
2022-11-26 02:06:51 TAI ##________|___############|###############|##########
2022-11-26 02:06:52 TAI ##________|__#############|###############|##########
2022-11-26 02:06:53 TAI ##________|__#############|###############|##########
2022-11-26 02:06:54 TAI ###_______|_______________|__#############|##########
2022-11-26 02:06:55 TAI ##________|__#############|###############|##########
2022-11-26 02:06:56 TAI ##________|_______________|_______________|__########
2022-11-26 02:06:57 TAI ######____|_##############|###############|##########
2022-11-26 02:06:58 TAI ###__#____|__#############|###############|##########
