2023-01-04 11:04:21 TAI ######_#__|_#_############|#########___#_#|_####__#_#
2023-01-04 11:04:22 TAI #_##__##__|###############|###############|##########
2023-01-04 11:04:23 TAI ####_##___|_____##########|####_#######__#|##########
2023-01-04 11:04:24 TAI #####____#|__#_#####_##__#|#__############|##########
2023-01-04 11:04:25 TAI ###__#____|__#############|###############|##########
2023-01-04 11:04:26 TAI #######___|__#_#####_#####|###___######___|#_########
2023-01-04 11:04:27 TAI ##########|___##########_#|##############_|_#########
2023-01-04 11:04:28 TAI ####_####_|#___#########__|############_#_|##########
2023-01-04 11:04:29 TAI ##___#_###|#_####_____####|__#############|##########
2023-01-04 11:04:30 TAI ##________|___________##__|__#############|##########
2023-01-04 11:04:31 TAI ##______#_|___############|###############|##########
2023-01-04 11:04:32 TAI ###_______|__#############|###############|##########
2023-01-04 11:04:33 TAI ###_______|__#############|###############|##########
2023-01-04 11:04:34 TAI ##________|__#############|###############|##########
2023-01-04 11:04:35 TAI ##________|__#############|###############|##########
2023-01-04 11:04:36 TAI ##________|_______________|_______________|__########
2023-01-04 11:04:37 TAI ###_____##|##_____________|__________#____|__########
2023-01-04 11:04:38 TAI ####_#____|__#############|###############|##########
2023-01-04 11:04:39 TAI ###_______|__#############|############___|##########
2023-01-04 11:04:40 TAI ##______#_|__#############|###_####_######|##########
2023-01-04 11:04:41 TAI ######____|_##############|###############|#_########
2023-01-04 11:04:42 TAI ##________|_##############|############_##|#########_
2023-01-04 11:04:43 TAI ###___####|###___#_#_#__#_|_##############|#######_##
2023-01-04 11:04:44 TAI ###_#____#|###_#___#######|###_###########|##########
2023-01-04 11:04:45 TAI ##________|__#############|###############|##########
2023-01-04 11:04:46 TAI ###_______|__________#____|_____#_________|_#########
2023-01-04 11:04:47 TAI ###_______|_##############|###############|##########
2023-01-04 11:04:48 TAI #_____##_#|_########_##_##|###_#########__|######__##
2023-01-04 11:04:49 TAI _#####___#|#____##########|#########_#####|##########
2023-01-04 11:04:50 TAI #_#_______|_______________|_##############|##########
2023-01-04 11:04:51 TAI ###_______|_###_##########|###############|#####_####
2023-01-04 11:04:52 TAI ##________|___############|###############|######_###
2023-01-04 11:04:53 TAI #####_____|__#############|###############|##########
2023-01-04 11:04:54 TAI ###_______|__#############|###############|##___#####
2023-01-04 11:04:55 TAI #####_____|__________###__|__#############|##########
2023-01-04 11:04:56 TAI ####______|______##_#####_|########______#|##########
2023-01-04 11:04:57 TAI ###_______|_##############|###############|##########
2023-01-04 11:04:58 TAI ###_______|__#############|###############|##########
2023-01-04 11:04:59 TAI ##________|__#############|###############|##########
2023-01-04 11:05:00 TAI ###_______|__#############|###############|##########
2023-01-04 11:05:01 TAI ##_____#__|___############|#############__|##########
2023-01-04 11:05:02 TAI ####______|__#############|###############|##########
2023-01-04 11:05:03 TAI ###_______|__#############|###############|##########
2023-01-04 11:05:04 TAI ##________|__#############|###############|##_#######
2023-01-04 11:05:05 TAI ####______|__#############|###############|##########
2023-01-04 11:05:06 TAI ####______|_______________|________#______|___#######
2023-01-04 11:05:07 TAI #######___|__#############|###############|##########
2023-01-04 11:05:08 TAI ###_#_____|_______________|__#############|##########
2023-01-04 11:05:09 TAI #####_____|_##############|##_#####_##_###|##########
2023-01-04 11:05:10 TAI #____#####|_##############|#####____##_###|##########
2023-01-04 11:05:11 TAI ###______#|___############|###############|##########
2023-01-04 11:05:12 TAI ##___##___|__#############|###############|##########
2023-01-04 11:05:13 TAI ##________|_______________|_##############|##########
2023-01-04 11:05:14 TAI #######_##|#_####_########|###_###########|#######_##
2023-01-04 11:05:15 TAI ##________|#####____##__##|____##########_|____######
2023-01-04 11:05:16 TAI ##____#___|_______________|_______________|__########
2023-01-04 11:05:17 TAI ###_#__##_|_##############|###############|##########
2023-01-04 11:05:18 TAI ##_____#__|___############|###############|##########
2023-01-04 11:05:19 TAI ##________|__#############|###############|##########
2023-01-04 11:05:20 TAI ##________|_##############|###############|##########
2023-01-04 11:05:21 TAI #####_____|#_#############|###############|##########
2023-01-04 11:05:22 TAI ##________|__#############|###############|##########
2023-01-04 11:05:23 TAI ##______##|__#_###########|###############|##########
2023-01-04 11:05:24 TAI ###______#|_________#_____|__#############|_#########
2023-01-04 11:05:25 TAI ##___#____|_##############|###############|##########
2023-01-04 11:05:26 TAI ##________|_______________|_####__________|_#########
2023-01-04 11:05:27 TAI ##____####|__#############|###############|##########
2023-01-04 11:05:28 TAI ##________|__#############|###############|######___#
2023-01-04 11:05:29 TAI ##________|__________#____|___############|##########
2023-01-04 11:05:30 TAI __________|___________##__|__#############|##########
2023-01-04 11:05:31 TAI ###_______|___############|###############|##########
2023-01-04 11:05:32 TAI ###_______|___############|###############|##########
2023-01-04 11:05:33 TAI ######____|__#############|###############|##########
2023-01-04 11:05:34 TAI ####______|___############|###############|##########
2023-01-04 11:05:35 TAI ###_______|____###########|###############|##########
2023-01-04 11:05:36 TAI ##______#_|_______________|##__________#__|__########
2023-01-04 11:05:37 TAI ####_____#|_______________|__#####________|___#######
2023-01-04 11:05:38 TAI ########__|###############|###############|##########
2023-01-04 11:05:39 TAI ##_#______|__#############|###############|##########
2023-01-04 11:05:40 TAI #####___#_|___############|###############|##########
2023-01-04 11:05:41 TAI ###______#|###############|###############|##########
2023-01-04 11:05:42 TAI ####______|__#############|###############|##########
2023-01-04 11:05:43 TAI ##________|_______##______|_#_############|##__######
2023-01-04 11:05:44 TAI #####_###_|_##############|######____#####|##########
2023-01-04 11:05:45 TAI ###_#__#__|________#_#__##|###############|_#####__##
2023-01-04 11:05:46 TAI ####______|_______________|_______________|__########
2023-01-04 11:05:47 TAI ####___##_|__#############|###############|##########
2023-01-04 11:05:48 TAI ###_______|__#############|############_##|#######___
2023-01-04 11:05:49 TAI ###______#|_###___###__###|######_#_###___|##___###__
2023-01-04 11:05:50 TAI _##_######|##___##____####|___####__######|######_###
2023-01-04 11:05:51 TAI ####______|___#__#########|###############|########_#
2023-01-04 11:05:52 TAI ##________|__#############|###############|##########
2023-01-04 11:05:53 TAI ##________|__#############|#########_#####|##########
2023-01-04 11:05:54 TAI ##________|__#############|###############|##########
2023-01-04 11:05:55 TAI ##________|_______________|__#############|##########
2023-01-04 11:05:56 TAI ##________|_______________|__##___####____|__########
2023-01-04 11:05:57 TAI #####_____|__#############|###############|##########
2023-01-04 11:05:58 TAI #_________|__#############|###############|##########
2023-01-04 11:05:59 TAI #####_____|__#############|###############|##########
2023-01-04 11:06:00 TAI ###_______|___############|###############|##########
2023-01-04 11:06:01 TAI ###_______|__#############|###############|##########
2023-01-04 11:06:02 TAI ####_____#|###############|###############|##########
